,Year,NOC,MaleMC,Male%MBE,FemaleMC,Female%MBE,W%Male,W%Female
0,1896,AUS,2.0,100.0,0.0,0.0,1.0,0.0
1,1896,AUT,5.0,100.0,0.0,0.0,1.0,0.0
2,1896,DEN,6.0,100.0,0.0,0.0,1.0,0.0
3,1896,FRA,11.0,100.0,0.0,0.0,1.0,0.0
4,1896,GBR,7.0,100.0,0.0,0.0,1.0,0.0
5,1896,GER,33.0,100.0,0.0,0.0,1.0,0.0
6,1896,GRE,52.0,100.0,0.0,0.0,1.0,0.0
7,1896,HUN,6.0,100.0,0.0,0.0,1.0,0.0
8,1896,SUI,3.0,100.0,0.0,0.0,1.0,0.0
9,1896,USA,20.0,100.0,0.0,0.0,1.0,0.0
10,1896,ZZX,6.0,100.0,0.0,0.0,1.0,0.0
11,1900,AUS,5.0,97.8515625,0.0,2.1484375,1.0,0.0
12,1900,AUT,6.0,97.8515625,0.0,2.1484375,1.0,0.0
13,1900,BEL,39.0,97.8515625,0.0,2.1484375,1.0,0.0
14,1900,BOH,1.0,97.8515625,1.0,2.1484375,0.021484375,0.978515625
15,1900,CAN,2.0,97.8515625,0.0,2.1484375,1.0,0.0
16,1900,CUB,2.0,97.8515625,0.0,2.1484375,1.0,0.0
17,1900,DEN,6.0,97.8515625,0.0,2.1484375,1.0,0.0
18,1900,ESP,2.0,97.8515625,0.0,2.1484375,1.0,0.0
19,1900,FRA,184.0,97.8515625,1.0,2.1484375,0.801584158416,0.198415841584
20,1900,GBR,76.0,97.8515625,2.0,2.1484375,0.454842219804,0.545157780196
21,1900,GER,40.0,97.8515625,0.0,2.1484375,1.0,0.0
22,1900,HUN,5.0,97.8515625,0.0,2.1484375,1.0,0.0
23,1900,IND,2.0,97.8515625,0.0,2.1484375,1.0,0.0
24,1900,ITA,4.0,97.8515625,0.0,2.1484375,1.0,0.0
25,1900,NED,20.0,97.8515625,0.0,2.1484375,1.0,0.0
26,1900,NOR,9.0,97.8515625,0.0,2.1484375,1.0,0.0
27,1900,SUI,15.0,97.8515625,0.0,2.1484375,1.0,0.0
28,1900,SWE,1.0,97.8515625,0.0,2.1484375,1.0,0.0
29,1900,USA,51.0,97.8515625,4.0,2.1484375,0.218713450292,0.781286549708
30,1900,ZZX,31.0,97.8515625,3.0,2.1484375,0.184924078091,0.815075921909
31,1904,AUT,1.0,97.4468085106,0.0,2.55319148936,1.0,0.0
32,1904,CAN,35.0,97.4468085106,0.0,2.55319148936,1.0,0.0
33,1904,CUB,9.0,97.4468085106,0.0,2.55319148936,1.0,0.0
